date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-02,3823.32,3847.88,3848.25,3813.81,30800260,31417807104.0,0.9,0.49,18.78,0.28
2014-01-03,3841.22,3816.32,3843.36,3802.99,34817561,35851633152.0,1.05,-0.82,-31.56,0.31
2014-01-06,3806.59,3710.9,3806.59,3709.91,34511866,33089075712.0,2.53,-2.76,-105.42,0.31
2014-01-07,3699.9,3733.66,3740.72,3688.42,27208621,27587590400.0,1.41,0.61,22.76,0.24
2014-01-08,3735.5,3738.21,3768.5,3726.11,31943441,32589003776.0,1.14,0.12,4.55,0.29
2014-01-09,3732.86,3696.02,3768.62,3693.64,33354135,34352021504.0,2.01,-1.13,-42.19,0.3
2014-01-10,3685.02,3628.63,3689.19,3619.68,31393303,29759859712.0,1.88,-1.82,-67.39,0.28
2014-01-13,3628.53,3612.02,3657.69,3588.74,27842415,27652484352.0,1.9,-0.46,-16.61,0.25
2014-01-14,3610.64,3683.53,3683.53,3601.99,28565104,27864934144.0,2.26,1.98,71.51,0.26
2014-01-15,3681.04,3708.14,3708.54,3675.64,29479193,30178561024.0,0.89,0.67,24.61,0.26
2014-01-16,3709.38,3714.31,3738.08,3703.19,29583312,29674608896.0,0.94,0.17,6.17,0.26
2014-01-17,3704.36,3671.92,3704.96,3669.59,25325293,25832781312.0,0.95,-1.14,-42.39,0.23
2014-01-20,3666.3,3644.13,3680.01,3627.65,23805747,24791854592.0,1.43,-0.76,-27.79,0.21
2014-01-21,3645.34,3700.11,3700.59,3645.34,28497804,29215573248.0,1.52,1.54,55.98,0.25
2014-01-22,3707.08,3799.04,3799.06,3707.03,41849047,42102246656.0,2.49,2.67,98.93,0.37
2014-01-23,3801.75,3825.49,3841.03,3795.48,40705802,44043320064.0,1.2,0.7,26.45,0.36
2014-01-24,3817.08,3882.67,3890.53,3811.14,45790748,48820004096.0,2.08,1.49,57.18,0.41
2014-01-27,3867.57,3881.95,3916.67,3854.87,42636805,45982996992.0,1.59,-0.02,-0.72,0.38
2014-01-28,3882.01,3873.81,3906.57,3847.03,31946533,35468332800.0,1.53,-0.21,-8.14,0.29
2014-01-29,3878.31,3908.45,3913.12,3878.31,33008381,36653826304.0,0.9,0.89,34.64,0.3
2014-01-30,3900.01,3885.42,3908.61,3877.57,28549940,30952128256.0,0.79,-0.59,-23.03,0.26
2014-02-07,3864.89,3957.67,3957.93,3854.98,34036566,37584978944.0,2.65,1.86,72.25,0.3
2014-02-10,3972.86,4074.63,4074.63,3972.86,57754949,62830622720.0,2.57,2.96,116.96,0.52
2014-02-11,4081.54,4080.38,4099.78,4031.95,61876820,66427603968.0,1.66,0.14,5.75,0.55
2014-02-12,4083.82,4125.41,4125.71,4064.35,59039265,60189976832.0,1.5,1.1,45.03,0.53
2014-02-13,4123.22,4064.42,4137.59,4064.42,61051500,62110135296.0,1.77,-1.48,-60.99,0.55
2014-02-14,4063.79,4134.16,4134.23,4060.09,50631158,52265409792.0,1.82,1.72,69.74,0.45
2014-02-17,4152.04,4212.75,4213.14,4152.04,62469417,65593955328.0,1.48,1.9,78.59,0.56
2014-02-18,4216.61,4207.7,4219.03,4188.07,63913295,66766223872.0,0.73,-0.12,-5.05,0.57
2014-02-19,4206.02,4207.99,4232.88,4180.91,61217761,63154497792.0,1.24,0.01,0.29,0.55
2014-02-20,4211.7,4149.07,4221.63,4139.2,62564477,62300133376.0,1.96,-1.4,-58.92,0.56
2014-02-21,4142.3,4121.92,4156.79,4085.82,48017884,47228926720.0,1.71,-0.65,-27.15,0.43
2014-02-24,4102.56,4105.79,4105.79,4043.51,51238733,52821387264.0,1.51,-0.39,-16.13,0.46
2014-02-25,4109.49,3961.44,4141.26,3937.17,65665272,70061215744.0,4.97,-3.52,-144.35,0.59
2014-02-26,3941.12,3987.48,3988.06,3883.96,48856737,49764846080.0,2.63,0.66,26.04,0.44
2014-02-27,3992.72,3934.73,4053.85,3932.31,54510922,57316272128.0,3.05,-1.32,-52.75,0.49
2014-02-28,3926.77,3975.93,3976.13,3874.72,46601198,48254509312.0,2.58,1.05,41.2,0.42
2014-03-03,3975.54,4058.8,4059.19,3969.3,51290258,53495701248.0,2.26,2.08,82.87,0.46
2014-03-04,4045.2,4059.57,4067.43,4016.03,53655608,54602426624.0,1.27,0.02,0.77,0.48
2014-03-05,4064.96,4037.78,4075.75,4031.92,53143631,51928401664.0,1.08,-0.54,-21.79,0.47
2014-03-06,4030.65,4032.76,4042.21,3980.28,48189903,46614619392.0,1.53,-0.12,-5.02,0.43
2014-03-07,4032.14,4012.45,4051.03,3992.94,45686321,45596345088.0,1.44,-0.5,-20.31,0.41
2014-03-10,3981.51,3860.24,3981.51,3856.1,49665554,47348547328.0,3.13,-3.79,-152.21,0.44
2014-03-11,3848.17,3864.26,3889.24,3826.93,39939678,37450245376.0,1.61,0.1,4.02,0.36
2014-03-12,3857.58,3865.66,3894.06,3803.73,41221160,36976695808.0,2.34,0.04,1.4,0.37
2014-03-13,3865.92,3907.15,3907.85,3861.71,37064658,34137589248.0,1.19,1.07,41.49,0.33
2014-03-14,3891.2,3888.98,3913.5,3860.32,35140833,33406192128.0,1.36,-0.47,-18.17,0.31
2014-03-17,3889.9,3967.15,3967.85,3889.9,39288171,38774435072.0,2.0,2.01,78.17,0.35
2014-03-18,3970.66,3989.2,4009.35,3968.89,44270843,44080433152.0,1.02,0.56,22.05,0.4
2014-03-19,3979.25,3980.67,3980.74,3944.09,42668958,39248886528.0,0.92,-0.21,-8.53,0.38
2014-03-20,3973.15,3876.58,4000.37,3876.43,49863055,44829609984.0,3.11,-2.61,-104.09,0.45
2014-03-21,3857.82,3952.39,3954.26,3828.92,52362721,45269601792.0,3.23,1.96,75.81,0.47
2014-03-24,3954.05,3985.86,3995.87,3944.69,54202977,45816784128.0,1.29,0.85,33.47,0.48
2014-03-25,3977.88,3991.14,4007.94,3967.62,53667026,45244076288.0,1.01,0.13,5.28,0.48
2014-03-26,3997.17,4001.5,4009.88,3987.19,46277501,39747128832.0,0.57,0.26,10.36,0.41
2014-03-27,3994.82,3944.04,3996.25,3943.79,49459873,41581287168.0,1.31,-1.44,-57.46,0.44
2014-03-28,3935.2,3865.3,3951.73,3855.48,53458266,43844891648.0,2.44,-2.0,-78.74,0.48
2014-03-31,3865.0,3840.54,3878.0,3815.74,38337778,31097095680.0,1.61,-0.64,-24.76,0.34
2014-04-01,3836.5,3899.49,3899.66,3835.23,34655220,29332505856.0,1.68,1.53,58.95,0.31
2014-04-02,3901.19,3902.04,3922.08,3891.55,43981944,34207477504.0,0.78,0.07,2.55,0.39
2014-04-03,3902.07,3896.28,3919.17,3880.4,42342712,33958648576.0,0.99,-0.15,-5.76,0.38
2014-04-04,3888.73,3939.23,3939.61,3881.96,38203218,32452790016.0,1.48,1.1,42.95,0.34
2014-04-08,3927.51,3981.63,3981.63,3918.98,42618208,37712924928.0,1.59,1.08,42.4,0.38
2014-04-09,3987.43,4018.55,4019.09,3987.43,43685036,39980313088.0,0.8,0.93,36.92,0.39
2014-04-10,4022.05,4038.84,4052.84,4012.66,51174180,46752707328.0,1.0,0.5,20.29,0.46
2014-04-11,4021.96,4021.19,4031.21,4001.8,43247393,39566857984.0,0.73,-0.44,-17.65,0.39
