date,open,high,low,close,volume,amount
2014-01-02,1845.86,1845.86,1827.74,1831.98,3080600064,5661710000000
2014-01-03,1833.21,1838.24,1829.13,1831.37,2774269952,5085200000000
2014-01-06,1832.3101,1837.16,1823.73,1826.77,3294850048,6029550000000
2014-01-07,1828.71,1840.1,1828.71,1837.88,3511749888,6440020000000
2014-01-08,1837.9,1840.02,1831.4,1837.49,3652140032,6707890000000
2014-01-09,1839.0,1843.23,1830.38,1838.13,3581149952,6581030000000
2014-01-10,1840.0601,1843.15,1832.4301,1842.37,3335709952,6136050000000
2014-01-13,1841.26,1843.45,1815.52,1819.2,3591350016,6571660000000
2014-01-14,1821.36,1839.26,1821.36,1838.88,3353270016,6137210000000
2014-01-15,1840.52,1850.84,1840.52,1848.38,3777799936,6970290000000
2014-01-16,1847.99,1847.99,1840.3,1845.89,3491310080,6443360000000
2014-01-17,1844.23,1846.04,1835.23,1838.7,3626119936,6675870000000
2014-01-21,1841.05,1849.3101,1832.38,1843.8,3782469888,6965930000000
2014-01-22,1844.71,1846.87,1840.88,1844.86,3374170112,6223080000000
2014-01-23,1842.29,1842.29,1820.0601,1828.46,3972250112,7282230000000
2014-01-24,1826.96,1826.96,1790.29,1790.29,4618449920,8353040000000
2014-01-27,1791.03,1795.98,1772.88,1781.5601,4045199872,7222150000000
2014-01-28,1783.0,1793.87,1779.49,1792.5,3437829888,6144140000000
2014-01-29,1790.15,1790.15,1770.45,1774.2,3964019968,7060860000000
2014-01-30,1777.17,1798.77,1777.17,1794.1899,3547510016,6338780000000
2014-01-31,1790.88,1793.88,1772.26,1782.59,4059689984,7246150000000
2014-02-03,1782.6801,1784.83,1739.66,1741.89,4726040064,8328540000000
2014-02-04,1743.8199,1758.73,1743.8199,1755.2,4068410112,7121310000000
2014-02-05,1753.38,1755.79,1737.92,1751.64,3984290048,6971240000000
2014-02-06,1752.99,1774.0601,1752.99,1773.4301,3825410048,6745600000000
2014-02-07,1776.01,1798.03,1776.01,1797.02,3775990016,6746820000000
2014-02-10,1796.2,1799.9399,1791.83,1799.84,3312160000,5951790000000
2014-02-11,1800.45,1823.54,1800.41,1819.75,3699379968,6699720000000
2014-02-12,1820.12,1826.55,1815.97,1819.26,3326380032,6055590000000
2014-02-13,1814.8199,1830.25,1809.22,1829.83,3289509888,5990300000000
2014-02-14,1828.46,1841.65,1825.59,1838.63,3114749952,5711150000000
2014-02-18,1839.03,1842.87,1835.01,1840.76,3421110016,6292850000000
2014-02-19,1838.9,1847.5,1826.99,1828.75,3661570048,6720940000000
2014-02-20,1829.24,1842.79,1824.58,1839.78,3404979968,6245070000000
2014-02-21,1841.0699,1846.13,1835.6,1836.25,3403879936,6262330000000
2014-02-24,1836.78,1858.71,1836.78,1847.61,4014530048,7406690000000
2014-02-25,1847.66,1852.91,1840.1899,1845.12,3515559936,6491380000000
2014-02-26,1845.79,1852.65,1840.66,1845.16,3716730112,6861330000000
2014-02-27,1844.9,1854.53,1841.13,1854.29,3547460096,6558230000000
2014-02-28,1855.12,1867.92,1847.67,1859.45,3917449984,7276820000000
2014-03-03,1857.6801,1857.6801,1834.4399,1845.73,3428219904,6338380000000
2014-03-04,1849.23,1876.23,1849.23,1873.91,3765769984,7012430000000
2014-03-05,1874.05,1876.53,1871.11,1873.8101,3392989952,6358040000000
2014-03-06,1874.1801,1881.9399,1874.1801,1877.03,3360450048,6307000000000
2014-03-07,1878.52,1883.5699,1870.5601,1878.04,3564740096,6693410000000
2014-03-10,1877.86,1877.87,1867.04,1877.17,3021349888,5664990000000
2014-03-11,1878.26,1882.35,1863.88,1867.63,3392399872,6354070000000
2014-03-12,1866.15,1868.38,1854.38,1868.2,3270860032,6097790000000
2014-03-13,1869.0601,1874.4,1841.86,1846.34,3670990080,6820390000000
2014-03-14,1845.0699,1852.4399,1839.5699,1841.13,3285459968,6060200000000
2014-03-17,1842.8101,1862.3,1842.8101,1858.83,2860489984,5296730000000
2014-03-18,1858.92,1873.76,1858.92,1872.25,2930190080,5467620000000
2014-03-19,1872.25,1874.14,1850.35,1860.77,3289210112,6132330000000
2014-03-20,1860.09,1873.49,1854.63,1872.01,3327539968,6206050000000
2014-03-21,1874.53,1883.97,1863.46,1866.52,5270709760,9867400000000
2014-03-24,1867.67,1873.34,1849.6899,1857.4399,3408999936,6347680000000
2014-03-25,1859.48,1871.87,1855.96,1865.62,3200560128,5963390000000
2014-03-26,1867.09,1875.92,1852.5601,1852.5601,3480849920,6481460000000
2014-03-27,1852.11,1855.55,1842.11,1849.04,3733430016,6905730000000
2014-03-28,1850.0699,1866.63,1850.0699,1857.62,2955520000,5485730000000
2014-03-31,1859.16,1875.1801,1859.16,1872.34,3274299904,6111350000000
2014-04-01,1873.96,1885.84,1873.96,1885.52,3336189952,6271440000000
2014-04-02,1886.61,1893.17,1883.79,1890.9,3131660032,5914510000000
2014-04-03,1891.4301,1893.8,1882.65,1888.77,3055600128,5772530000000
2014-04-04,1890.25,1897.28,1863.26,1865.09,3583749888,6733760000000
2014-04-07,1863.92,1864.04,1841.48,1845.04,3801540096,7046610000000
2014-04-08,1845.48,1854.95,1837.49,1851.96,3721449984,6875270000000
2014-04-09,1852.64,1872.4301,1852.38,1872.1801,3308649984,6162050000000
2014-04-10,1872.28,1872.53,1830.87,1833.08,3758779904,6961970000000
2014-04-11,1830.65,1835.0699,1814.36,1815.6899,3743460096,6827860000000
2014-04-14,1818.1801,1834.1899,1815.8,1830.61,3111539968,5677610000000
2014-04-15,1831.45,1844.02,1816.29,1842.98,3736440064,6851450000000
2014-04-16,1846.01,1862.3101,1846.01,1862.3101,3155079936,5850020000000
2014-04-17,1861.73,1869.63,1856.72,1864.85,3341430016,6225860000000
2014-04-21,1865.79,1871.89,1863.1801,1871.89,2642500096,4936690000000
2014-04-22,1872.5699,1884.89,1872.5699,1879.55,3215439872,6036650000000
2014-04-23,1879.3199,1879.75,1873.91,1875.39,3085720064,5792180000000
2014-04-24,1881.97,1884.0601,1870.24,1878.61,3191830016,5996560000000
2014-04-25,1877.72,1877.72,1859.7,1863.4,3213019904,6007170000000
2014-04-28,1865.0,1877.01,1850.61,1869.4301,4034680064,7526750000000
2014-04-29,1870.78,1880.6,1870.78,1878.33,3647820032,6840110000000
2014-04-30,1877.1,1885.2,1872.6899,1883.95,3779229952,7103950000000
2014-05-01,1884.39,1888.59,1878.04,1883.6801,3416740096,6436030000000
2014-05-02,1885.3,1891.33,1878.5,1881.14,3159559936,5952820000000
2014-05-05,1879.45,1885.51,1866.77,1884.66,2733730048,5136950000000
2014-05-06,1883.6899,1883.6899,1867.72,1867.72,3327259904,6240960000000
2014-05-07,1868.53,1878.83,1859.79,1878.21,3632950016,6798480000000
2014-05-08,1877.39,1889.0699,1870.05,1875.63,3393420032,6372960000000
2014-05-09,1875.27,1878.5699,1867.02,1878.48,3025019904,5671410000000
2014-05-12,1880.03,1897.13,1880.03,1896.65,3005740032,5676220000000
2014-05-13,1896.75,1902.17,1896.0601,1897.45,2915680000,5534270000000
2014-05-14,1897.13,1897.13,1885.77,1888.53,2822060032,5339730000000
2014-05-15,1888.16,1888.16,1862.36,1870.85,3552640000,6669660000000
