,strategy_nav,hs300_nav,equal_weight_nav
2014-01-02,1000000.0,1000000.0,1000000.0
2014-01-03,1000000.0,986563.1917587577,996882.1745298909
2014-01-06,1000000.0,964108.2179863737,983565.2555957724
2014-01-07,1000000.0,963832.591150656,988337.0471330202
2014-01-08,1000000.0,965516.4988501193,992385.9501331348
2014-01-09,1000000.0,957036.666982489,985580.7273519349
2014-01-10,1000000.0,949555.9823943358,979576.7320401601
2014-01-13,1000000.0,944745.4327771987,978495.0939096113
2014-01-14,1000000.0,953001.3178408083,988651.178613964
2014-01-15,1000000.0,951317.410141345,989741.4158610284
2014-01-16,1000000.0,952566.3442406913,988967.0059528726
2014-01-17,1000000.0,938203.6020982093,982848.4395861761
2014-01-20,1000000.0,932820.2654630962,978837.1691434869
2014-01-21,1000000.0,942045.1511210259,986425.1669882433
2014-01-22,1000000.0,966330.4593493484,999258.9779056964
2014-01-23,1000000.0,961201.2162034126,999620.4362344862
2014-01-24,1000000.0,967140.1131792694,1004973.1284300522
2014-01-27,1000000.0,954323.4653183921,1000794.9196959182
2014-01-28,1000000.0,956015.9863564718,1000956.7948618858
2014-01-29,1000000.0,959431.1751177877,1005322.292772357
2014-01-30,1000000.0,948522.3817603942,1002472.2785408112
2014-01-31,1000000.0,,1001824.1543827248
2014-02-03,999600.0,,999536.7948057398
2014-02-04,1003419.0344970118,,1000300.5534092605
2014-02-05,1002401.4377095206,,1000097.6665604605
2014-02-06,1008636.288354583,,1001341.7708378303
2014-02-07,1015344.652326373,952841.9710764091,1002673.7405748888
2014-02-10,1015125.9799201988,976550.1856174474,1017427.77376511
2014-02-11,1006381.3446145442,984315.1103799343,1020790.3474138898
2014-02-12,1016438.921401792,986765.6052162381,1024792.806141618
2014-02-13,998431.0735160294,981726.8021257721,1017443.7403723992
2014-02-14,1017070.5114673425,988626.0863573332,1027081.3154796587
2014-02-17,1038615.7017110062,995551.2106047429,1037476.9694004852
2014-02-18,1038282.4009023699,982971.4295558104,1031070.0004413819
2014-02-19,1038308.0417684813,994263.5164816238,1033911.3985525133
2014-02-20,1022423.3907897216,985124.7642098557,1027830.9154974086
2014-02-21,1018632.4992534122,975154.8247616262,1024328.3716419053
2014-02-24,1020052.2311732242,953716.2249459516,1021553.5045788981
2014-02-25,980456.9604688415,929340.4766621591,1002717.9655606502
2014-02-26,986950.7225265586,931709.1447816091,1005733.0606226765
2014-02-27,971710.9774768668,927703.9423250849,999606.8314938578
2014-02-28,981557.0115372344,938410.3222249978,1005894.2235791087
2014-03-03,1002414.6561585248,943319.9252362209,1013201.0882647642
2014-03-04,1010151.31633304,940692.8569582859,1015015.2149483769
2014-03-05,1006908.2634396163,931954.6249321701,1011339.3186110043
2014-03-06,1007645.5848816783,936110.5608144776,1012465.4836208819
2014-03-07,1006641.4916152727,933840.946089114,1011329.943784581
2014-03-10,987172.7201002226,903448.7807819191,988841.2188282259
2014-03-11,982626.6527209784,908130.1303198134,988994.2272769754
2014-03-12,987799.4941426835,910485.878431339,991012.6744775523
2014-03-13,986833.4384716119,921769.3520185362,998557.7239459602
2014-03-14,985074.8078807885,914236.987398686,994829.9531589472
2014-03-17,995298.7968311382,922936.4594010287,1007784.220177056
2014-03-18,992309.9273275848,920821.8847707565,1009548.7981305972
2014-03-19,987464.7435531121,913388.5735449921,1004743.622086605
2014-03-20,991952.7066761366,898788.9645905653,991525.1489986355
2014-03-21,985006.6827578814,929723.7702305798,1003845.0403698536
2014-03-24,977800.4214574259,937368.1082524403,1004175.9701226269
2014-03-25,980936.8590089726,936459.4010284331,1002992.6989026448
2014-03-26,978043.2489526941,934999.4401329905,1003216.7197719621
2014-03-27,975579.424109052,928393.0094143796,992577.0953225376
2014-03-28,963956.092059698,926782.3150931536,986296.8292738192
2014-03-31,965047.6526912821,924340.4335954665,984591.9760911093
2014-04-01,963419.3724384434,931579.9447023667,993508.6826942072
2014-04-02,970732.0789350165,939168.2960232223,994408.3651471286
2014-04-03,965690.6670280569,932398.2118709041,991017.1470258039
2014-04-04,963833.235605591,941209.6572752572,992992.2553186342
